"Date","Price","Open","High","Low","Vol.","Change %"
"09/30/2024","15,123.8","15,125.0","15,125.0","15,123.8","","-0.01%"
"09/29/2024","15,125.0","15,124.8","15,125.0","15,124.8","","0.03%"
"09/27/2024","15,120.0","15,100.0","15,160.0","15,082.5","","-0.26%"
"09/26/2024","15,160.0","15,130.0","15,187.5","15,122.5","","0.43%"
"09/25/2024","15,095.0","15,115.0","15,127.5","15,065.0","","-0.56%"
"09/24/2024","15,180.0","15,195.0","15,212.5","15,172.5","","-0.10%"
"09/23/2024","15,195.0","15,145.0","15,212.5","15,137.5","","0.33%"
"09/20/2024","15,145.0","15,130.0","15,152.5","15,070.0","","-0.56%"
"09/19/2024","15,230.0","15,345.0","15,357.5","15,232.5","","-0.65%"
"09/18/2024","15,330.0","15,325.0","15,360.0","15,312.5","","0.00%"
"09/17/2024","15,330.0","15,370.0","15,375.0","15,315.0","","-0.41%"
"09/16/2024","15,393.1","15,400.0","15,408.5","15,354.0","","-0.01%"
"09/13/2024","15,395.0","15,417.5","15,455.0","15,390.0","","-0.19%"
"09/12/2024","15,425.0","15,415.0","15,446.5","15,400.0","","0.19%"
"09/11/2024","15,395.0","15,440.0","15,440.0","15,395.0","","-0.32%"
"09/10/2024","15,445.0","15,475.0","15,485.0","15,431.5","","-0.03%"
"09/09/2024","15,450.0","15,475.0","15,485.0","15,416.0","","0.59%"
"09/06/2024","15,360.0","15,390.0","15,398.5","15,352.0","","-0.23%"
"09/05/2024","15,395.0","15,422.5","15,432.5","15,394.0","","-0.48%"
"09/04/2024","15,470.0","15,530.0","15,542.5","15,470.0","","-0.32%"
"09/03/2024","15,520.0","15,547.5","15,583.5","15,522.5","","0.00%"
"09/02/2024","15,520.0","15,497.5","15,555.0","15,492.5","","0.45%"
"08/30/2024","15,450.0","15,450.0","15,490.0","15,437.5","","0.26%"
"08/29/2024","15,410.0","15,420.0","15,447.5","15,367.5","","-0.06%"
"08/28/2024","15,420.0","15,517.5","15,532.5","15,420.0","","-0.45%"
"08/27/2024","15,490.0","15,480.0","15,545.0","15,460.0","","0.42%"
"08/26/2024","15,425.0","15,341.0","15,435.0","15,295.0","","-0.39%"
"08/23/2024","15,485.0","15,635.0","15,662.5","15,425.0","","-0.71%"
"08/22/2024","15,595.0","15,505.0","15,642.5","15,505.0","","0.74%"
"08/21/2024","15,480.0","15,450.0","15,500.0","15,422.0","","0.32%"
"08/20/2024","15,430.0","15,515.0","15,522.5","15,420.0","","-0.74%"
"08/19/2024","15,545.0","15,635.0","15,656.5","15,550.0","","-0.89%"
"08/16/2024","15,685.0","15,755.0","15,759.0","15,675.0","","-0.03%"
"08/15/2024","15,690.0","15,615.0","15,720.0","15,615.0","","0.10%"
"08/14/2024","15,675.0","15,725.0","15,737.5","15,665.0","","-0.98%"
"08/13/2024","15,830.0","15,935.0","15,962.5","15,824.5","","-0.75%"
