"Date","Price","Open","High","Low","Vol.","Change %"
"03/21/2008","9,185.0","9,185.0","9,185.0","9,185.0","","-0.05%"
"03/20/2008","9,190.0","9,185.0","9,185.0","9,185.0","","0.05%"
"03/19/2008","9,185.0","9,205.0","9,225.0","9,165.0","","-0.33%"
"03/18/2008","9,215.0","9,275.0","9,310.0","9,185.0","","-0.54%"
"03/17/2008","9,265.0","9,225.0","9,345.0","9,225.0","","0.32%"
"03/14/2008","9,235.0","9,240.0","9,265.0","9,215.0","","0.22%"
"03/13/2008","9,215.0","9,175.0","9,245.0","9,175.0","","0.60%"
"03/12/2008","9,160.0","9,175.0","9,183.0","9,135.0","","-0.29%"
"03/11/2008","9,187.0","9,185.0","9,280.0","9,178.0","","0.08%"
"03/10/2008","9,180.0","9,076.0","9,185.0","9,076.0","","1.32%"
"03/07/2008","9,060.0","9,060.0","9,060.0","9,060.0","","0.00%"
"03/06/2008","9,060.0","9,085.0","9,085.0","9,060.0","","-0.32%"
"03/05/2008","9,089.0","9,085.0","9,100.0","9,064.0","","-0.29%"
"03/04/2008","9,115.0","9,095.0","9,110.0","9,080.0","","0.05%"
"03/03/2008","9,110.0","9,080.0","9,125.0","9,080.0","","0.50%"
"02/29/2008","9,065.0","9,060.0","9,080.0","9,049.0","","-0.11%"
"02/28/2008","9,075.0","9,055.0","9,090.0","9,055.0","","0.24%"
"02/27/2008","9,053.0","9,070.0","9,074.0","9,042.0","","-0.32%"
"02/26/2008","9,082.5","9,107.5","9,107.5","9,062.5","","-0.52%"
"02/25/2008","9,130.0","9,165.0","9,180.0","9,115.0","","-0.46%"
"02/22/2008","9,172.0","9,160.0","9,184.0","9,155.0","","0.08%"
"02/21/2008","9,165.0","9,175.0","9,182.0","9,155.0","","-0.27%"
"02/20/2008","9,190.0","9,165.0","9,195.0","9,165.0","","0.33%"
"02/19/2008","9,160.0","9,155.0","9,170.0","9,128.0","","-0.01%"
"02/18/2008","9,161.0","9,171.0","9,175.0","9,130.0","","-0.10%"
"02/15/2008","9,170.0","9,205.0","9,220.0","9,150.0","","-0.46%"
"02/14/2008","9,212.5","9,257.5","9,267.5","9,202.5","","-0.62%"
"02/13/2008","9,270.0","9,265.0","9,273.0","9,245.0","","0.05%"
"02/12/2008","9,265.0","9,263.0","9,290.0","9,260.0","","-0.08%"
"02/11/2008","9,272.5","9,247.5","9,282.5","9,240.5","","0.38%"
"02/08/2008","9,237.5","9,242.5","9,245.5","9,232.5","","-0.03%"
"02/07/2008","9,240.0","9,240.0","9,240.0","9,240.0","","-0.02%"
"02/06/2008","9,242.0","9,225.0","9,255.0","9,225.0","","0.32%"
"02/05/2008","9,212.5","9,232.5","9,237.5","9,202.5","","-0.14%"
"02/04/2008","9,225.0","9,200.0","9,232.0","9,200.0","","0.17%"
"02/01/2008","9,209.5","9,237.5","9,247.5","9,187.5","","-0.40%"
"01/31/2008","9,246.5","9,292.5","9,297.5","9,241.5","","-0.44%"
"01/30/2008","9,287.5","9,312.5","9,319.5","9,282.5","","-0.38%"
"01/29/2008","9,323.0","9,335.0","9,341.0","9,315.0","","-0.29%"
"01/28/2008","9,350.0","9,345.0","9,358.0","9,345.0","","0.21%"
"01/25/2008","9,330.0","9,367.0","9,367.0","9,320.0","","-0.50%"
"01/24/2008","9,376.5","9,380.5","9,392.5","9,355.5","","-0.17%"
"01/23/2008","9,392.5","9,482.5","9,482.5","9,377.5","","-0.66%"
"01/22/2008","9,455.0","9,465.0","9,504.0","9,460.0","","-0.05%"
"01/21/2008","9,460.0","9,445.0","9,470.0","9,440.0","","0.13%"
"01/18/2008","9,447.5","9,469.5","9,484.5","9,436.5","","0.11%"
"01/17/2008","9,437.0","9,447.0","9,455.0","9,432.0","","0.10%"
"01/16/2008","9,427.5","9,447.5","9,453.5","9,427.5","","-0.08%"
"01/15/2008","9,435.0","9,415.0","9,443.0","9,415.0","","0.05%"
"01/14/2008","9,430.0","9,440.0","9,455.0","9,421.0","","-0.07%"
"01/11/2008","9,437.0","9,415.0","9,442.0","9,400.0","","0.50%"
"01/10/2008","9,390.0","9,390.0","9,390.0","9,390.0","","-0.50%"
"01/09/2008","9,437.5","9,452.5","9,478.5","9,437.5","","-0.14%"
"01/08/2008","9,450.5","9,449.5","9,462.5","9,444.5","","0.10%"
"01/07/2008","9,441.0","9,440.0","9,468.0","9,440.0","","0.12%"
"01/04/2008","9,430.0","9,412.0","9,440.0","9,400.0","","0.14%"
"01/03/2008","9,417.0","9,395.0","9,421.0","9,395.0","","0.39%"
"01/02/2008","9,380.0","9,390.0","9,405.0","9,365.0","","-0.13%"
"01/01/2008","9,392.5","9,392.5","9,392.5","9,392.5","","0.00%"
"12/31/2007","9,392.5","9,387.5","9,392.5","9,370.5","","-0.03%"
"12/28/2007","9,395.0","9,410.0","9,430.0","9,394.0","","-0.24%"
"12/27/2007","9,417.5","9,417.5","9,422.5","9,400.5","","0.13%"
"12/26/2007","9,405.0","9,400.0","9,425.0","9,400.0","","0.00%"
"12/25/2007","9,405.0","9,405.0","9,405.0","9,405.0","","0.00%"
"12/24/2007","9,405.0","9,430.0","9,430.0","9,397.0","","-0.24%"
"12/21/2007","9,427.5","9,432.5","9,453.5","9,417.5","","-0.03%"
"12/20/2007","9,430.0","9,430.0","9,430.0","9,430.0","","0.00%"
"12/19/2007","9,430.0","9,390.0","9,437.0","9,375.0","","0.37%"
"12/18/2007","9,395.0","9,425.0","9,445.0","9,385.0","","-0.21%"
"12/17/2007","9,415.0","9,335.0","9,420.0","9,335.0","","0.94%"
"12/14/2007","9,327.5","9,322.5","9,343.5","9,322.5","","0.19%"
"12/13/2007","9,310.0","9,295.0","9,330.0","9,295.0","","0.10%"
"12/12/2007","9,300.5","9,279.5","9,321.5","9,279.5","","0.33%"
"12/11/2007","9,270.0","9,265.0","9,288.0","9,262.0","","-0.05%"
"12/10/2007","9,275.0","9,265.0","9,278.0","9,240.0","","0.03%"
"12/07/2007","9,272.0","9,260.0","9,280.0","9,253.0","","0.10%"
"12/06/2007","9,262.5","9,257.5","9,287.5","9,237.5","","-0.03%"
"12/05/2007","9,265.0","9,305.0","9,305.0","9,255.0","","-0.32%"
"12/04/2007","9,295.0","9,325.0","9,348.0","9,285.0","","-0.38%"
"12/03/2007","9,330.0","9,378.0","9,380.0","9,325.0","","-0.43%"
"11/30/2007","9,370.0","9,380.0","9,383.0","9,363.0","","-0.11%"
"11/29/2007","9,380.0","9,410.0","9,410.0","9,365.0","","-0.40%"
"11/28/2007","9,417.5","9,402.5","9,424.5","9,387.5","","0.19%"
"11/27/2007","9,400.0","9,365.0","9,411.0","9,365.0","","0.45%"
"11/26/2007","9,357.5","9,357.5","9,392.5","9,357.5","","-0.05%"
